Id,Name,Mode,PluginTypeName,BaseEntity,SolutionName,,,,
07233133-afed-e811-a963-000d3a3ac3f8,Cmc.Engage.Application.Plugins.RecomendationThankyouEmailPlugin: Update of cmc_applicationrecommendation,Asynchronous,Cmc.Engage.Application.Plugins.RecomendationThankyouEmailPlugin, Cmc.Engage.Application.Plugins, Version=1.0.0.0, Culture=neutral, PublicKeyToken=5420fce4e329b67d,cmc_applicationrecommendation,CampusManagementApply_Managed
0f65c478-4e8b-e911-a827-000d3a3150b6,Cmc.Engage.Application.Extension.Plugins.CreateReviewsOnBundleActivationPlugin: Update of cmc_applicationreviewbundle,Synchronous,Cmc.Engage.Application.Extension.Plugins.CreateReviewsOnBundleActivationPlugin, Cmc.Engage.Application.Extension.Plugins, Version=1.0.0.0, Culture=neutral, PublicKeyToken=2acf0954bc05c71d,cmc_applicationreviewbundle,CampusManagementApply_Managed
0ff212ca-9a93-e911-a864-000d3a37207b,Cmc.Engage.Application.Extension.Plugins.CheckHeadReviewerOnBundleActivationPlugin: Update of cmc_applicationreviewbundle,Asynchronous,Cmc.Engage.Application.Extension.Plugins.CheckHeadReviewerOnBundleActivationPlugin, Cmc.Engage.Application.Extension.Plugins, Version=1.0.0.0, Culture=neutral, PublicKeyToken=2acf0954bc05c71d,cmc_applicationreviewbundle,CampusManagementApply_Managed
178ec378-7e83-e911-a84d-000d3a3627b3,Cmc.Engage.Application.Extension.Plugins.SetupBundleOnMoveToNextRoundPlugin: Update of cmc_applicationreviewbundle_application,Asynchronous,Cmc.Engage.Application.Extension.Plugins.SetupBundleOnMoveToNextRoundPlugin, Cmc.Engage.Application.Extension.Plugins, Version=1.0.0.0, Culture=neutral, PublicKeyToken=2acf0954bc05c71d,cmc_applicationreviewbundle_application,CampusManagementApply_Managed
2f1f639e-e890-e911-a851-000d3a372ab9,Cmc.Engage.Application.Extension.Plugins.OnChangeOfHeadReviewerSubmissionPlugin: Update of cmc_applicationreviewbundle,Synchronous,Cmc.Engage.Application.Extension.Plugins.OnChangeOfHeadReviewerSubmissionPlugin, Cmc.Engage.Application.Extension.Plugins, Version=1.0.0.0, Culture=neutral, PublicKeyToken=2acf0954bc05c71d,cmc_applicationreviewbundle,CampusManagementApply_Managed
4fe75a60-e646-e911-a952-000d3a3b9316,Cmc.Engage.Application.Plugins.RecomendationInvitationPlugin: Create of cmc_applicationrecommendation,Asynchronous,Cmc.Engage.Application.Plugins.RecomendationInvitationPlugin, Cmc.Engage.Application.Plugins, Version=1.0.0.0, Culture=neutral, PublicKeyToken=5420fce4e329b67d,cmc_applicationrecommendation,CampusManagementApply_Managed
542fdae3-8c3b-e911-a951-000d3a3b9b3d,Cmc.Engage.Application.Plugins.SetupTestScoreRequirementsOnApplicationPlugin: Create of mshied_testscore,Asynchronous,Cmc.Engage.Application.Plugins.SetupTestScoreRequirementsOnApplicationPlugin, Cmc.Engage.Application.Plugins, Version=1.0.0.0, Culture=neutral, PublicKeyToken=5420fce4e329b67d,mshied_testscore,CampusManagementApply_Managed
73c23a3c-2f94-e911-a82a-000d3a315bf6,Cmc.Engage.Application.Extension.Plugins.ChangeReviewerOrderPlugin: cmc_ChangeReviewerOrder of  any Entity,Synchronous,Cmc.Engage.Application.Extension.Plugins.ChangeReviewerOrderPlugin, Cmc.Engage.Application.Extension.Plugins, Version=1.0.0.0, Culture=neutral, PublicKeyToken=2acf0954bc05c71d,,CampusManagementApply_Managed
798b2b62-be93-e911-a827-000d3a3150b6,Cmc.Engage.Application.Extension.Plugins.RetrieveReviewSummaryPlugin: cmc_RetrieveApplicationReviewSummary of  any Entity,Asynchronous,Cmc.Engage.Application.Extension.Plugins.RetrieveReviewSummaryPlugin, Cmc.Engage.Application.Extension.Plugins, Version=1.0.0.0, Culture=neutral, PublicKeyToken=2acf0954bc05c71d,,CampusManagementApply_Managed
804232ff-b291-e911-a827-000d3a3150b6,Cmc.Engage.Application.Extension.Plugins.CreateUpdateDeleteReviewersPlugin: cmc_ApplicationReviewAddReviewer of  any Entity,Synchronous,Cmc.Engage.Application.Extension.Plugins.CreateUpdateDeleteReviewersPlugin, Cmc.Engage.Application.Extension.Plugins, Version=1.0.0.0, Culture=neutral, PublicKeyToken=2acf0954bc05c71d,,CampusManagementApply_Managed
88969e94-6193-e911-a834-000d3a315241,Cmc.Engage.Application.Extension.Plugins.CreateUpdateDeleteReviewersPlugin: cmc_ApplicationReviewChangeReviewerType of  any Entity,Synchronous,Cmc.Engage.Application.Extension.Plugins.CreateUpdateDeleteReviewersPlugin, Cmc.Engage.Application.Extension.Plugins, Version=1.0.0.0, Culture=neutral, PublicKeyToken=2acf0954bc05c71d,,CampusManagementApply_Managed
