Id,Name,Mode,StateCode,StatusCode,Category,BaseEntity,SolutionName
da5ebffb-4a68-4428-bfa1-5d393064ed9a,Application - Create Lifecycle,Real-time,Activated, Activated,Workflow,cmc_application,CampusManagementApply_Managed
59662fe3-6117-4a7b-80c9-31e45af97d3d,Application Review - Add Reviewer,Background,Activated, Activated,Action,none,CampusManagementApply_Managed
a50cdc83-a1fb-4aab-9b36-d8fb7294d69a,Application Review - Add to Bundle,Background,Activated, Activated,Action,none,CampusManagementApply_Managed
1a5d7e14-33a2-4d78-a562-a24918991065,Application Review - Change Reviewer Type,Background,Activated, Activated,Action,none,CampusManagementApply_Managed
4437174f-18f1-4f00-8e56-5ac3b33c206e,Application Review - Next Round workflow template,Background,Draft, Draft,Workflow,cmc_applicationreview,CampusManagementApply_Managed
89686583-7d9a-4144-8247-db9375ddbeaa,Application Review - Remove Reviewer,Background,Activated, Activated,Action,none,CampusManagementApply_Managed
7e86752b-9a44-4c49-ac8d-26a84fc13bc2,Application Review - Retrieve Application Review Summary,Background,Activated, Activated,Action,none,CampusManagementApply_Managed
67a61836-9c0c-42ea-9c27-332819ac0345,Application Review Create Decision,Real-time,Activated, Activated,Workflow,cmc_applicationreview,CampusManagementApply_Managed
fb936334-849a-485c-a628-8811f955f91e,Application Routing for Review,Background,Draft, Draft,Workflow,cmc_application,CampusManagementApply_Managed
f3de225e-0a7b-4367-884b-b678451a8c8a,Change Reviewer Order,Background,Activated, Activated,Action,none,CampusManagementApply_Managed
48e2b968-a919-48d2-a8e9-00336cf44af3,Recommendation_Thankyou,Background,Activated, Activated,Workflow,cmc_applicationrecommendation,CampusManagementApply_Managed
93883cf7-055a-40a7-87e1-726fa00d8259,Review Bundle Application - Update Application Review Status,Real-time,Activated, Activated,Workflow,cmc_applicationreviewbundle_application,CampusManagementApply_Managed
4235b091-c983-e911-a851-000d3a372ab9,Review Bundle Cutoff Date,Real-time,Activated, Activated,BusinessRule,cmc_applicationreviewbundle,CampusManagementApply_Managed
b0ce27f1-188e-e911-a864-000d3a37207b,Review Bundle Disable Fields,Real-time,Activated, Activated,BusinessRule,cmc_applicationreviewbundle,CampusManagementApply_Managed
93dcdbc7-0cdc-48bd-af14-f45100567214,ApplicationDefinitionVersionDetailAutoName,Real-time,Activated, Activated,Workflow,cmc_applicationdefinitionversiondetail,CampusManagementBase_Managed
5e8e5977-104c-e911-a951-000d3a3b9cd8,Application Definition Version Lifecycle Type,Real-time,Activated, Activated,BusinessRule,cmc_applicationdefinitionversion,CampusManagementBase_Managed
19c0f498-3c6e-4e61-a740-5d2edcd6bfb7,Inbound Interest - Create Lifecycle,Real-time,Activated, Activated,Workflow,Lead,CampusManagementBase_Managed
7738634b-13dc-491f-aaf9-ce733cf8ac2e,Perform Selective Update,Background,Activated, Activated,Action,none,CampusManagementBase_Managed
6e0a9217-1673-4e29-a522-32238c4895ac,Trip - Assign Reviewer,Real-time,Activated, Activated,Workflow,cmc_trip,CampusManagementBase_Managed
8dda2335-a381-4e39-ac5f-9bd977748f78,Trip Activity – Send Email,Real-time,Draft, Draft,Workflow,cmc_tripactivity,CampusManagementBase_Managed
1c264c7d-0cbd-4580-83ea-699a3593fd5c,tripactivitysendemailaction,Background,Activated, Activated,Action,none,CampusManagementBase_Managed
522585f0-77ce-482e-94dc-dd31acaf8138,Trip Activity Show Send Email Icon,Background,Activated, Activated,Action,none,CampusManagementBase_Managed
524c815c-f1bc-e911-a960-000d3a4f149a,Enrollment Auto Create Connection,Background,Draft, Draft,Flow,none,CampusManagementDataFlows_Managed
fe151e4b-14b5-e911-a965-000d3a4f12d7,Lifecycle - Auto Create Connections,Background,Draft, Draft,Flow,none,CampusManagementDataFlows_Managed
e0a50f8e-f8d2-e911-a964-000d3a3b9a2b,Lifecycle - Auto Update Connections,Background,Draft, Draft,Flow,none,CampusManagementDataFlows_Managed
1d519e00-5cbe-e911-a959-000d3a36e933,Print Application Flow,Background,Activated, Activated,Flow,none,CampusManagementDataFlows_Managed
5c9a8421-c2c9-4ef0-84f7-9a764d7c998d,Appointment - Accepted/Declined Email,Real-time,Activated, Activated,Workflow,Appointment,CampusManagementExtended_Managed
0dda45c1-cb0f-42ee-ac6d-14e7bcdf2c5a,Appointment - Accept Invite,Background,Activated, Activated,Action,Appointment,CampusManagementExtended_Managed
ef892677-9103-44f7-9041-579ada35b5a7,Appointment – Portal Cancel Appointment,Real-time,Activated, Activated,Workflow,Appointment,CampusManagementExtended_Managed
c4562b0d-081c-4637-be55-c72e49821c3e,Case - Send email to Student Portal Case Team,Background,Activated, Activated,Workflow,Incident,CampusManagementExtended_Managed
1c264c7d-0cbd-4580-83ea-699a3593fd5c,tripactivitysendemailaction,Background,Activated, Activated,Action,none,CampusManagementExtended_Managed
23e6c538-f491-e911-a851-000d3a372ab9,CMC Application Integration Trigger,Background,Activated, Activated,Flow,none,CampusManagementStudentIntegration_Managed
d50dde55-1c8c-e911-a865-000d3a372701,CNE-CNS Application - Enrollment Integration (Engage),Background,Activated, Activated,Flow,none,CampusManagementStudentIntegration_Managed
1be64a07-ae91-e911-a851-000d3a372ab9,CNE-CNS Contact - Student Integration (Engage),Background,Activated, Activated,Flow,none,CampusManagementStudentIntegration_Managed
43839a36-aec2-e911-a95e-000d3a3b9316,CNE-CNS Previous Education - Student Previous Education Integration - Update (Engage),Background,Activated, Activated,Flow,none,CampusManagementStudentIntegration_Managed
73ee44af-c0c2-e911-a961-000d3a3b9a2b,CNE-CNS Previous Education - Student Previous Education Integration - Create (Engage),Background,Activated, Activated,Flow,none,CampusManagementStudentIntegration_Managed
e983cc42-db6f-e911-a95a-000d3a3b9a2b,CNS-CNE Agency Branch - Account Integration (Engage),Background,Activated, Activated,Flow,none,CampusManagementStudentIntegration_Managed
6673aa97-8a78-e911-a959-000d3a3b9774,CNS-CNE Class Section - Course Section Integration (Engage),Background,Activated, Activated,Flow,none,CampusManagementStudentIntegration_Managed
f0904047-db6f-e911-a956-000d3a3b9316,CNS-CNE College - Account Integration (Engage),Background,Activated, Activated,Flow,none,CampusManagementStudentIntegration_Managed
d3230447-db6f-e911-a959-000d3a3b9774,CNS-CNE Concentration - Area of Study Integration (Engage),Background,Activated, Activated,Flow,none,CampusManagementStudentIntegration_Managed
3954fb47-db6f-e911-a955-000d3a3b9b3d,CNS-CNE Course - Course Integration (Engage),Background,Activated, Activated,Flow,none,CampusManagementStudentIntegration_Managed
9b99445a-2e72-e911-a958-000d3a3b9cd8,CNS-CNE Extracurricular Activities - Extracurricular Activities Integration (Engage),Background,Activated, Activated,Flow,none,CampusManagementStudentIntegration_Managed
82cb8b51-db6f-e911-a958-000d3a3b9cd8,CNS-CNE High School - Account Integration (Engage),Background,Activated, Activated,Flow,none,CampusManagementStudentIntegration_Managed
10b0dd4f-db6f-e911-a95a-000d3a3b9825,CNS-CNE Previous Education - Education Level Integration (Engage),Background,Activated, Activated,Flow,none,CampusManagementStudentIntegration_Managed
c96f6b53-db6f-e911-a956-000d3a3b9316,CNS-CNE Program - Program Integration (Engage),Background,Activated, Activated,Flow,none,CampusManagementStudentIntegration_Managed
ef83cc42-db6f-e911-a95a-000d3a3b9a2b,CNS-CNE Program Group - Area of Interest Integration (Engage),Background,Activated, Activated,Flow,none,CampusManagementStudentIntegration_Managed
